Song Title|Voicing|Arranger
Change The World|SSAA|David Wright
Change The World|TTBB|David Wright
Change The World|TTBB|Joel Bexelius
Chanson D'Amour|SSAA|Bob O'Connell
Chanukah Is Here|TTBB|Alan Josephson
Chaplin Medley|TTBB|David Wright
Charleston|SSAA|Brian Beck
Cheek To Cheek|SSAA|Ed Waesche
Cheek To Cheek|TTBB|Ed Waesche
Cheek To Cheek-My Blue Heaven Medley|TTBB|John Brockman
Cheer Up, Charlie|SSAA|Jim Henry
Cheer Up, Charlie|TTBB|Jim Henry
Children, Go Where I Send Thee|TTBB|David Wright
Christmas Eve In My Hometown|TTBB|Hal Maples
Christmas Stays The Same|TTBB|Joe Johnson
Christmas Time Is Here|SSAA|Adam Bock
Christmas Time Is Here|SSAA|Carole Prietto
Christmas Time Is Here|TTBB|Adam Bock
Christmas Time Is Here|TTBB|Brian Beck
Cinderella|TTBB|Gene Cokeroft
Circus Medley|TTBB|Steve Tramack
Cocktails For Two|TTBB|Steve Tramack
Coconut|SSAA|Joe Liles
Colorado Christmas|TTBB|Jay Giallombardo
Colorado My Home|TTBB|Darin Drown
Come Alive|TTBB|Aaron Dale
Come Fly With Me|SSAA|Kevin Keller
Come Fly With Me|TTBB|Kevin Keller
Come Fly With Me/Fly Me To The Moon Medley|SATB|Joel T. Rutherford
Come Follow The Band|TTBB|Steve Tramack
Come Go With Me|TTBB|Tom Gentry
Come In From The Rain|SSAA|Betty Oliver
Come On Get Happy|SSAA|Aaron Dale
Come On Get Happy|TTBB|Aaron Dale
Come Rain Or Come Shine|TTBB|Steve Tramack
Come Share His Life With Me|TTBB|Richard Loebakka
Comedy Tonight|TTBB|Hal Maples
Comedy Tonight|TTBB|Roger Payne
Comes Love|SSAA|Adam Reimnitz
Comes Love|TTBB|Adam Reimnitz
Coney Island Baby|TTBB|Barbershop Harmony Society
Consider Yourself|TTBB|Tom Gentry
Cool Yule|SSAA|Aaron Dale
Cool Yule|TTBB|Aaron Dale
Copacabana|SSAA|Greg Volk
Country Roads Take Me Home|TTBB|Steve Jamison
Coventry Carol|TTBB|Barbershop Harmony Society
Crazy|SSAA|Nancy Bergman
Crazy 'Bout Ya, Baby|TTBB|Rob Campbell
Crazy Little Thing Called Love|TTBB|Chris Peterson
Cruella De Vil|TTBB|David Wright
Crying|TTBB|David Wright
Daddy Sang Bass|TTBB|Carl Perkins
Daddy's Little Girl|TTBB|David Wright
Daddy's Little Girl|TTBB|Don Gray
Dancing Medley|SSAA|Joe Mannherz
Danny Boy|TTBB|Gene Cokeroft
Daydream|TTBB|Mel Knight
De King Is Born Today|TTBB|Morgan Ames
Dear Old Girl|TTBB|Rob Hopkins
Deck The Halls|TTBB|Robert Shaw
Desperado|TTBB|Tom Gentry
Didn't My Lord Deliver Daniel|TTBB|Aaron Dale
Dinah|TTBB|David Wright
Ding Dong The Witch Is Dead|SSAA|Clay Hine
Ding Dong The Witch Is Dead|TTBB|Clay Hine
Do I Love You|TTBB|Brent Graham
Do You Hear The People Sing?|TTBB|Tom Gentry
Do You Hear What I Hear|TTBB|Jay Giallombardo
Do You Hear What I Hear|TTBB|Joe Liles
Do You Know What It Means To Miss New Orleans|TTBB|Barbershop Harmony Society
Doggone, I've Done It|TTBB|David Wright
Don't Be A Baby, Baby|TTBB|Barbershop Harmony Society
Don't Break The Heart That Loves You|SSAA|Greg Volk
Don't Fence Me In|TTBB|Darin Drown
Don't Rain On My Parade|SSAA|David Harrington
Don't Rain On My Parade|TTBB|David Harrington
Don't Wait Too Long|TTBB|Bob Rund
Down By The Old Mill Stream|TTBB|Barbershop Harmony Society
Down Our Way|TTBB|Floyd Connett
Down Where The South Begins|TTBB|Bill Busby
Dream On|TTBB|Patrick McAlexander
Drive My Car|TTBB|Jim Henry
Drivin' Me Crazy|TTBB|Bob Disney
Early American 'Uptempo' Medley|TTBB|Jay Giallombardo
Ebb Tide|TTBB|Fred King
Edelweiss|TTBB|Johan Wikstrom
Eight Days A Week|SSAA|David Harrington
Eight Days A Week|TTBB|David Harrington
Eine Kleine NOT Musik|TTBB|Jim Henry
El Yivneh Hagalil|TTBB|Peter Sozio
Elijah Rock|SATB|Moses Hogan
Embraceable You|TTBB|Ed Waesche
Empty Chairs At Empty Tables|TTBB|Steve Tramack
Enjoy The Ride|TTBB|Steve Tramack
Erie Canal|TTBB|Walter Latzko
Eternal Father|TTBB|Dan Tice
Every Time We Say Goodbye|TTBB|Rob Hopkins
Everyone's Wrong But Me|TTBB|Kevin Keller
Everything|SSAA|Aaron Dale
Everything|TTBB|Aaron Dale
Everything's Coming Up Roses|SSAA|Carolyn Schmidt
Everything's Coming Up Roses|TTBB|David Wright
Everything's Coming Up Roses|TTBB|Gary Lewis
Everything's Coming Up Roses|TTBB|Justin Miller
Everything's Coming Up Roses/There's No Business Like Show Business Medley|TTBB|Brian Beck
Everything's Up To Date In Kansas City|TTBB|Jay Giallombardo
Ezekiel Saw The Wheel|TTBB|David Wright
Fame|SSAA|Mike Taylor
Fare Thee Well Love|TTBB|David Wright
Feast Of Lights|SSAA|Greg Lyne
Feed The Birds|SSAA|Joe Spiecker
Feliz Navidad|TTBB|Brian Beck
Feliz Navidad|TTBB|Tom Gentry
Festival Of Lights|SSAA|Alan Josephson
Festival Of Lights|TTBB|Alan Josephson
Fireflies|SATB|E.C. Schirmer Publishing
Firefly|TTBB|Barbershop Harmony Society
Fit As A Fiddle|SSAA|Arline Cardoso
Fit As A Fiddle|SSAA|David Wright
Fit As A Fiddle|TTBB|David Wright
Five Foot Two|TTBB|Clay Hine
Flaggin' The Train To Tuscaloosa|TTBB|Patrick McAlexander
Flirty Eyes|SSAA|Nancy Bergman
Flirty Eyes|TTBB|Tony Nasto
Fly Me To The Moon|SSAA|Aaron Dale
Fly Me To The Moon|TTBB|Aaron Dale
Follow The Drinking Gourd|SSAA|Bob Jones
For All We Know|TTBB|Lou Perry
For Sale, One Broken Heart|TTBB|Val Hicks
Fortune In Dreams|TTBB|Earl Moon
Forty Second Street|TTBB|Greg Volk
Forty Second Street|TTBB|Kevin Keller
Four Leaf Clover/Yes Sir Medley|SSAA|Joe Spiecker
Freddie Feelgood [And His Funky Little Four Piece Band]|TTBB|Dave Briner
Free Fallin'|TTBB|Aaron Dale
Friend Like Me|TTBB|David Wright
Friends|TTBB|David Wright
Friends Medley|SSAA|David Wright
Frog Kissin'|TTBB|Bob Jones
From The First Hello To The Last Goodbye|TTBB|Lou Perry
From This Moment On|TTBB|John Hohl
Fun In Just One Lifetime|SATB|Joe Liles
Fun In Just One Lifetime|TTBB|Joe Liles
Gary, Indiana|TTBB|Walter Latzko
Georgia May|TTBB|Aaron Dale
Georgia On My Mind|TTBB|David Harrington
Gershwin Love Song Medley|TTBB|Jay Giallombardo
Gershwin Montage|TTBB|Jay Giallombardo
Get Happy|TTBB|Kevin Keller
Get Me To The Church On Time Medley|TTBB|David Wright
Giants In The Sky|TTBB|Adam Bock
Girls Night Out|SSAA|Brian Beck
Gloria|TTBB|David Wright
Go Down Moses|TTBB|David Wright
Go Rest High On That Mountain|TTBB|Jon Nicholas
Go Tell It On The Mountain|TTBB|David Wright
Go Tell It On The Mountain|TTBB|Joe Liles
Go The Distance|SSAA|Aaron Dale
Go The Distance|TTBB|Aaron Dale
God Bless The Child|TTBB|Tom Gentry
God Bless The USA|TTBB|Brian Beck
God Bless The USA|TTBB|Steve Jamison
God Only Knows|TTBB|Clay Hine
God Only Knows|TTBB|David Wright
God Rest Ye Merry Gentlemen|TTBB|Charlie Kinnison
God Rest Ye Merry Gentlemen|TTBB|Greg Volk
Gonna Build A Mountain|TTBB|Ed Waesche
Good Day Sunshine|TTBB|David Wright
Good Day-Wonderful Day Medley|TTBB|Jay Giallombardo
Good Luck Charm|SSAA|Aaron Dale
Good Luck Charm|TTBB|Aaron Dale
Good Night Ladies|TTBB|Barbershop Harmony Society
Good Night My Someone|TTBB|Walter Latzko
Good Old A Cappella|TTBB|David Wright
Good Vibrations|TTBB|David Wright
Goodbye World Goodbye|TTBB|David Wright
Goodbye World Goodbye|TTBB|Jay Giallombardo
Goodbye World, Goodbye|SSAA|David Wright
Goodbye Yellow Brick Road|TTBB|Joe Johnson
Goodnight Sweetheart, Goodnight|TTBB|Mel Knight
Goodnight, Saigon|TTBB|Tom Gentry
Gospel Medley|TTBB|Ed Waesche
Graduation Day|TTBB|Tom Gentry
Great Day|SSAA|David Harrington
Great Day|TTBB|David Harrington
Green Eyes|TTBB|Brian Mastrull
Grim Grinning Ghosts|TTBB|Arthur Sauls
Grow Old With Me|TTBB|Aaron Dale
Grown Up Christmas List|TTBB|Steve Tramack
Guilty|TTBB|Scott Kitzmiller
Hakuna Matata|TTBB|David Wright
Hallelujah|TTBB|Jay Giallombardo
Hallelujah|TTBB|Jim Clancy
Hallelujah|TTBB|Mark Hale
Hallelujah Chorus|SATB|George Frideric Handel
Hallelujah I Love Her So|TTBB|Aaron Dale
Handful Of Keys|SSAA|David Wright
Handful Of Keys|TTBB|Walter Latzko
Hang On, Little Tomato|TTBB|Ethan Wolfe
Hanukkah In Santa Monica|TTBB|John Hohl
Hanukkah Medley|TTBB|Jim Arns
Happy|SSAA|Adam Scott
Happy|TTBB|Adam Scott
Happy Days And Lonely Nights|TTBB|Earl Moon
Happy Days Are Here Again|TTBB|Bobby Gray
Happy Feet Medley|TTBB|Ed Waesche
Happy Holidays/It's The Holiday Season|SSAA|Mark Hale
Happy Holidays/It's The Holiday Season|TTBB|Mark Hale
Happy Together|SSAA|David Wright
Happy Together|SSAA|Liz Garnett
Happy Together|TTBB|David Wright
Happy Together|TTBB|Liz Garnett
Hard To Say I'm Sorry|TTBB|Brian Mastrull
Hard To Say I'm Sorry/You're The Inspiration|TTBB|Justin Miller
Harmony|SATB|Doug Miller
Harmony|TTBB|David Wright
Harmony Leads The Way|TTBB|Joe Liles
Harmony Rag|TTBB|Mel Knight
Have A Little Talk With Myself|TTBB|Gary Parker
Have A Nice Day|TTBB|Tom Gentry
Have Yourself A Merry Little Christmas|SSAA|Barb Watson
Have Yourself A Merry Little Christmas|TTBB|Jim Clancy
Haven't Met You Yet|SSAA|Aaron Dale
Haven't Met You Yet|TTBB|Aaron Dale
He Never Failed Me Yet|TTBB|Robert Ray
He Was There|SSAA|Nancy Bergman
He Will Carry You|TTBB|Larry Triplett
He's Got The Whole World In His Hands|TTBB|Fred King
Heart|TTBB|Ed Waesche
Heart Of My Heart [Story Of The Rose]|TTBB|Barbershop Harmony Society
Heatwave|SSAA|David Wright
Hello|SATB|David Wright
Hello, Mary Lou|TTBB|David Wright
Help Is On The Way|SSAA|Michael Gellert
Here's That Rainy Day|TTBB|Tom Parker
Hey Daddy|SSAA|Nancy Bergman
Hey Little Baby O' Mine|TTBB|Joe Liles
Hey Look Me Over|TTBB|Barbershop Harmony Society
Hey There|SSAA|David Wright
Hey, Good Lookin'|SSAA|Tom Gentry
Hey, Good Lookin'|TTBB|David Wright
Hey, Good Lookin'|TTBB|Tom Gentry
Hey, Look Me Over|TTBB|David Wright
Hi, Neighbor|TTBB|Walter Latzko
Higher And Higher|SSAA|David Wright
Higher And Higher|TTBB|David Wright
Hold On|TTBB|David Wright
Homeward Bound|TTBB|Grant Goldstein
Honey (Open That Door)/Hey Good Lookin'|TTBB|Aaron Dale
Honey Medley|TTBB|David Harrington
Honey/Little 'Lize Medley|TTBB|Floyd Connett
Hooray For Hollywood/That's Entertainment Medley|TTBB|Jay Giallombardo
House Of The Rising Sun|TTBB|Deke Sharon
How Are Ya Fixed For Love|SATB|Shawn York
How Can I Keep From Singing|TTBB|Larry Triplett
How Could I Ever Know|TTBB|Theo Hicks
How Deep Is The Ocean|SSAA|Rob Hopkins
How Deep Is The Ocean|TTBB|Ed Waesche
How Deep Is The Ocean|TTBB|Jim Clancy
How Far I'll Go-We Know The Way Medley|TTBB|Aaron Dale
How Great Thou Art|SATB|Joe Johnson
How Great Thou Art|TTBB|Clay Hine
How High The Moon|SSAA|David Wright
How High The Moon|SSAA|Mark Hale
How High The Moon|TTBB|Mark Hale
How Many Hearts Have You Broken|SSAA|Jim Arns
How To Build A Chorus|TTBB|Val Hicks
Hush|TTBB|Dick Kneeland
Hushabye Mountain|TTBB|William Mitchell
Hymns Of The Cross|TTBB|Jim Clancy
I Am Not Yours|TTBB|Justin Miller
I Believe|SSAA|Tom Gentry
I Believe|TTBB|Barbershop Harmony Society
I Believe|TTBB|David Harrington
I Believe In Music|SSAA|Joe Liles
I Believe In Music|TTBB|Joe Liles
I Believe In Santa Claus|TTBB|Mark Hale
I Can Dream, Can't I|TTBB|Ed Waesche
I Can See Clearly Now|TTBB|Steven Armstrong
I Carry Your Heart With Me|SATB|Rasmus Krigström
I Didn't Want To Fall|SSAA|Joe Liles
I Didn't Want To Fall|TTBB|Joe Liles
I Don't Know Enough About You/ I Don't Know Why Medley|SSAA|Tom Gentry
I Don't Know Enough About You/ I Don't Know Why Medley|TTBB|Tom Gentry
I Don't Know Why|TTBB|Mel Knight
I Don't Mind Being All Alone|TTBB|Barbershop Harmony Society
I Get Along Without You Very Well|TTBB|Adam Reimnitz
I Got Rhythm|SSAA|David Wright
I Got Rhythm|TTBB|Bill Biffle
I Got Rhythm|TTBB|Clay Hine
I Got Rhythm|TTBB|Walter Latzko
I Got Rhythm-Farewell To Love|TTBB|Steven Armstrong
I Have Dreamed|SATB|David Wright
I Have Dreamed|SSAA|David Wright
I Have Dreamed|TTBB|David Wright
I Heard The Bells On Christmas Day|SATB|David Wright
I Love A Piano|TTBB|Jay Giallombardo
I Love Being Here With You|SSAA|Aaron Dale
I Love Being Here With You|TTBB|Aaron Dale
I Love Jazz Medley|SSAA|David Wright
I Love Jazz Medley|TTBB|David Wright
I Love That Old Barbershop Style|TTBB|Val Hicks
I Never Knew Medley|TTBB|Renee Craig
I Never Knew/Get Me To The Church On Time Medley|TTBB|Clay Hine
I Never Meant To Fall In Love|SSAA|Joe Liles
I Only Have Eyes For You|TTBB|Bobby Gray
I Only Have Eyes For You|TTBB|Dave Richards
I Saw Mommy Kissing Santa Claus|TTBB|Steve Tramack
I Saw Three Ships|TTBB|Kevin Keller
I Told Them All About You/You Dear Medley|TTBB|Four Harmonizers
I Used To Be Color Blind|TTBB|Adam Reimnitz
I Walk With Music|TTBB|Adam Bock
I Wanna Come Back As A Man|SSAA|Jim Arns
I Want You, I Need You, I Love You|TTBB|Aaron Dale
I Will|SSAA|David Wright
I Will|TTBB|David Wright
I Will Follow You|TTBB|David Wright
I Will Go Sailing No More|TTBB|Rich Hasty
I Won't Let Go|TTBB|Steve Tramack
I Wonder As I Wander|TTBB|Darin Drown
I'd Love To Live In Loveland|TTBB|Barbershop Harmony Society
I'd Love To Live In Loveland|TTBB|Val Hicks
I'll Always Love You (Smiling Face)|TTBB|Ruby Rhea
I'll Be Home For Christmas|SSAA|Renee Craig
I'll Fly Away|TTBB|Burt Szabo
I'll Forget You|TTBB|Lou Perry
I'll Get By|TTBB|Steven Armstrong
I'll Live In Glory|TTBB|David Wright
I'll Walk With God|TTBB|Pete Rupay
I'm A Believer|TTBB|Greg Volk
I'm Alone Because I Love You|TTBB|Lou Perry
I'm Feelin' Fine|TTBB|Darin Drown
I'm Feelin' Fine|TTBB|Joe Liles
I'm Gonna Live Till I Die|SSAA|Greg Volk
I'm Gonna Live Till I Die|TTBB|Greg Volk
I'm Gonna Make It, Joe|TTBB|Phil Ordaz
I'm Gonna Sing Til The Spirit Moves In My Heart|TTBB|Darin Drown
I'm Gonna Sit Right Down And Write Myself A Letter|TTBB|Jim Kahlke
I'm Looking Over A Four Leaf Clover|TTBB|Ed Waesche
I'm Never Satisfied|TTBB|Brian Mastrull
I'm Sittin' On Top Of The World|TTBB|Boston Consort
I'm Sittin' On Top Of The World|TTBB|Patrick McAlexander
I'm Walkin'|TTBB|Aaron Dale
I've Been Workin' On The Railroad|TTBB|Roger Payne
I've Got My Love To Keep Me Warm|TTBB|Adam Reimnitz
I've Got The World On A String|TTBB|Adam Reimnitz
I've Gotta Be Me|TTBB|Steve Tramack
If|TTBB|Larry Triplett
If Ever I Would Leave You|SSAA|Clay Hine
If I Can Dream|TTBB|Aaron Dale
If I Could Be With You|TTBB|Dave Richards
If I Could Write A Song|TTBB|Russ Foris
If I Give My Heart To You|SSAA|Jim Clancy
If I Had My Way|SSAA|David Harrington
If I Had My Way|SSAA|Nancy Bergman
If I Had My Way|TTBB|David Harrington
If I Love Again|TTBB|Katie Farrell
If I Loved You|TTBB|Rasmus Krigström
If I Loved You|TTBB|Steve Tramack
If I Only Had A Brain|TTBB|Clay Hine
If I Ruled The World|SSAA|Don Gray
If I Ruled The World|SSAA|Ed Waesche
If I Ruled The World|TTBB|Ed Waesche
If I Were A Rich Man|TTBB|Walter Latzko
If It's The Last Thing I Do|TTBB|Adam Reimnitz
If My Friends Could See Me Now Medley|TTBB|Patrick McAlexander
If There's Anybody Here From Out Of Town|SATB|Dave Briner
If We Hold On Together|SSAA|Greg Volk
If You Love Me (Really Love Me)|TTBB|Renee Craig
If You Love Me, Really Love Me|SSAA|Nancy Bergman
If You Love Me, Really Love Me|TTBB|David Wright
If You Were Only Mine|TTBB|Tony Nasto
If You've Only Got A Moustache|TTBB|Tom Gentry
In Heaven's Eyes|SSAA|Carolyn Schmidt
In My Daughter's Eyes|SSAA|Carole Prietto
In My Room|TTBB|Tom Gentry
In The Bleak Mid-Winter|TTBB|Joseph Jennings
In The Cool, Cool, Cool Of The Evening|TTBB|Gene Cokeroft
