Product Code/SKU,Product Name,Product Description,Arranger,Difficulty,Ensemble
7098,All By Myself (TTBB) (arr. Driscoll),"TTBB, arranged by Dennis Driscoll | from the Barbershop Songs for Men series",Dennis Driscoll,1,
202793,All Dressed Up With A Broken Heart (TTBB) (arr. Gentry),"TTBB, arranged by Tom Gentry | Available in US and Canada",Thomas Gentry,1,
7553,All Hail Our Alma Mater (TTBB) (arr. Liles),Arranged by: Joe Liles,Joe Liles,1,
8519,All Hail The Power Of Jesus (TTBB) (arr. Liles),Arranged by: Joe Liles,Joe Liles,1,
213607,All I Have to Do is Dream (SATB) (arr. Gentry) (International Orders),"SATB, for mixed voices | Arranged by Tom Gentry | This version is licensed for all territories excluding USA and Japan.<br /> For USA orders, please ",Tom Gentry,2,SATB
213554,All I Have to Do is Dream (SATB) (arr. Gentry) (USA Orders),"SATB, for mixed voices | Arranged by Tom Gentry | This page for US customers only. <br /> For international orders, please ",Tom Gentry,2,SATB
213533,All I Have to Do is Dream (SSAA) (arr. Gentry) (International Orders),"SSAA, for female voices | Arranged by Tom Gentry | This version is licensed for all territories excluding USA and Japan.<br /> For USA orders, please ",Tom Gentry,2,SSAA
213552,All I Have to Do is Dream (SSAA) (arr. Gentry) (USA Orders),"SSAA, for female voices | Arranged by Tom Gentry | This page for US customers only. <br /> For international orders, please ",Tom Gentry,2,SSAA
212874,All I Have To Do Is Dream (TTBB) (arr. Gentry) (International orders),"TTBB | Arranged by Tom Gentry | This version is licensed for all territories excluding USA and Japan. For USA orders, please ",Tom Gentry,2,
8609,All I Have To Do Is Dream (TTBB) (arr. Gentry) (USA orders),"TTBB | Arranged by Tom Gentry | This page for USA customers only. For international orders, please ",Tom Gentry,2,
214065,All I Want For Christmas Is You (SATB) (arr. Triplett),"SATB, for mixed voices | Arranged by Larry Triplett | Available in US and Canada",Larry Triplett,4,SATB
211695,All I Want For Christmas Is You (SSAA) (arr. Triplett),"SSAA, for female voices | Arranged by Larry Triplett (formerly #204613) | Available in US and Canada",Larry Triplett,4,
211566,All I Want For Christmas Is You (TTBB) (arr. Triplett),TTBB | Arranged by Larry Triplett (formerly #202204) | Available in US and Canada,Larry Triplett,4,
7122,All That I Ask Is Love (TTBB) (arr. SPEBSQSA),"Arranged by: S.P.E.B.S.Q.S.A., Inc.",Inc. SPEBSQSA,2,
212436,All the Way (SSAA) (arr. Briner),"SSAA, for female voices | Arranged by Dave Briner (formerly #200820) | from The Joker Is Wild | Available in US and Canada",Dave Briner,3,
212069,All the Way (TTBB) (arr. Briner),TTBB | Arranged by Dave Briner (formerly #110071) | from The Joker Is Wild | Available in US and Canada,Dave Briner,3,
7244,All The World Will Be Jealous (TTBB) (arr. BHS),Arranged by: BHS,BHS,2,
202794,Alleluia (TTBB) (arr. Henry),"TTBB, arranged by James Henry | as sung by The Gas House Gang | TAvailable in US and Canada",James Henry,2,
212093,Almost Like Being in Love (TTBB) (arr. King),TTBB | Arranged by Eric King (formerly #202462) | from Brigadoon | Available in US and Canada,Eric King,2,
214236,Almost There (from THE PRINCESS AND THE FROG) (SSAA) (arr. Dale),"from Walt Disney's The Princess and the Frog | SSAA, for higher voices | Arranged by Aaron Dale | as sung by GQ Quartet | Available in US and Canada",Aaron Dale,2,
7373,Alone Medley (TTBB) (arr. Campbell),Arranged by: Rob Campbell,Rob Campbell,4,
7645,Always (TTBB) (arr. Gray),"TTBB, arranged by Don Gray | from the Barbershop Show Tunes Series | Available in US ",Don Gray,2,TTBB
211651,Always (TTBB) (arr. Hale & Gray),TTBB | Arranged by Mark Hale and Don Gray (formerly #114363) | as sung by Michigan Jake | Available in US and Canada,Mark Hale and Don Gray,2,
212479,Always Look On The Bright Side Of Life (SSAA) (arr. Hamblet),"SSAA, for female voices | Arranged by Will Hamblet (formerly #202093) | ",Will Hamblet,1,
212534,Always Look On The Bright Side Of Life (TTBB) (arr. Hamblet),TTBB | Arranged by Will Hamblet (formerly #202093) | ,Will Hamblet,1,
7327,Am I Wasting My Time On You? (TTBB) (arr. Roose),"TTBB, arranged by Kirk Roose",Kirk Roose,2,
214279,Amazing (SATB) (arr. Rund),"SATB, arranged by Robert Rund | as sung by Columbus High School Concert Choir | Thanks to Society volunteer Mike Rosen for his assistance in the production of this product! ",Robert Rund,2,
213559,Amazing Grace (SATB) (arr. Gentry),"SATB, for mixed vocies | Arranged by Tom Gentry | Available in all territories ",Tom Gentry,2,SATB
202783,Amazing Grace (SSAA) (arr. Gentry),"SSAA, arranged by Tom Gentry | from the ""Afterglow Series"" | Available for all territories",Tom Gentry,2,
7713,Amazing Grace (TTBB) (arr. Gentry),"TTBB, arranged by Tom Gentry | Available to all customers",Tom Gentry,2,
7378,America (TTBB) (arr. SPEBSQSA),Arranged by SPEBSQSA,SPEBSQSA,2,
213459,America the Beautiful (SATB) (arr. Hopkins),"SATB, for mixed voices | Arrangement by Rob Hopkins | Available in all territories ",Rob Hopkins,1,SATB
213457,America the Beautiful (SSAA) (arr. Hopkins),"SSAA, for female voices | Arrangement by Rob Hopkins | Available in all territories ",Rob Hopkins,1,SSAA
7340,America The Beautiful (TTBB) (arr. Hopkins),TTBB | Arranged by Rob Hopkins | Print version | Available in all territories ,Rob Hopkins,1,
11599,American Revolution Medley (TTBB) (arr. Stevens),"Arranged by: Stevens, Dave",Dave Stevens,2,
203835,Among My Souvenirs (TTBB) (arr. BHS),"TTBB, arranged by the Barbershop Harmony Society | Available in US, Canada, and Australia",BHS,2,
4082,An Introduction to Barbershop Singing for Youth (TTB) (arr. Gentry),,Tom Gentry,1,
7371,Angry (TTBB) (arr. Driscoll),Arranged by: Dennis Driscoll | Available in US and Canada,Dennis Driscoll,2,
7183,Any Little Girl Can Make A Bad (TTBB) (arr. Szabo),Arranged by: Burt Szabo,Burt Szabo,4,
211549,"Anything You Can Do, I Can Do Better (8-Part M/M) (arr. Gentry)",Double TTBB Quartet | Arranged by Tom Gentry (formerly #113853) | from the stage production Annie Get Your Gun | Available in US and Canada,Thomas Gentry,2,
211697,"Anything You Can Do, I Can Do Better (8-Part M/W) (arr. Gentry)",Mixed Double Quartet (SSAA/TTBB) | Arranged by Tom Gentry (formerly #110123) | from the stage production Annie Get Your Gun | Available in US and Canada,Thomas Gentry,2,
211608,"Anything You Can Do, I Can Do Better (TTBB) (arr. Gray)",TTBB | Arranged by Don Gray (formerly #110124) | Available in US and Canada,Don Gray,1,TTBB
7212,April Showers (TTBB) (arr. Driscoll),TTBB | Arranged by Dennis M. Driscoll | Available in USA,Dennis Driscoll,2,TTBB
200906,"Armed Forces Medley (TTBB) (arr. King, Grant, Delehanty, & Ewald) ","TTBB, for low voices | Arranged by Fred King, John R. Grant, Steve Delehanty, and Tom Ewald | Contains Semper Paratus, The Marine's Hymn, Anchors Aweigh, The Army Goes Rolling Along, and The U.S. Air Force  ","Fred King, John R. Grant, Steve Delehanty, Tom Ewald",2,
214136,As Long as I Got You (SATB) (arr. Ruthenberg),"SATB, for mixed voices | Arranged by Eric Ruthenberg | Available in all territories ",Eric Ruthenberg,2,SATB
214135,As Long as I Got You (SSAA) (arr. Ruthenberg),"SSAA, for female/high voices | Arranged by Eric Ruthenberg | Available in all territories ",Eric Ruthenberg,2,SSAA
214134,As Long as I Got You (TTBB) (arr. Ruthenberg),"TTBB, for male/low voices | Arranged by Eric Ruthenberg | Available in all territories ",Eric Ruthenberg,2,TTBB
212480,As Long as I'm Singin' (SSAA) (arr. Menefee),SSAA | Arranged by Mike Menefee | for female voices | Available in US and Canada  ,Mike Menefee,3/4,SSAA
212147,As Long as I'm Singin' (TTBB) (arr. Menefee),TTBB | Arranged by Mike Menefee (formerly #202565) | Available in US and Canada ,Mike Menefee,3/4,TTBB
212172,As Long as I'm Singin' (TTBB) (arr. Wright),TTBB | Arranged by David Wright (formerly #200721) | as sung by Vocal Spectrum | Available in US and Canada,David Wright,5,TTBB
8120,Asleep In The Deep (TTBB) (arr. SPEBSQSA),Arranged by SPEBSQSA,SPEBSQSA,3,
7172,At The Moving Picture Ball (TTBB) (arr. Perry),"TTBB, arranged by Lou Perry | Part of the Barbershop Songs for Men series | Thanks to volunteer Brian Ayers for converting this arrangement from the original octavo format!",Louis Perry,4,
8068,Auld Lang Syne / I Love You Truly / Tell Me Why (3 Song Set) (TTBB) (arr. SPEBSQSA),"TTBB, developed and arranged by SPEBSQSA | from the Harmony Heritage Songs series | Available for all territories",,1,
8621,Aura Lee (TTBB) (arr. SPEBSQSA),"TTBB, arranged by SPEBSQSA | from the Harmony Explosion series and as contained in the songbook, Strictly Barbershop |  Available for all territories ",,1,
8607,Aura Lee/Love Me Tender Medley (TTBB) (arr. Gentry),"TTBB, arranged by Tom Gentry | Available in US and Canada.  ",Tom Gentry,1,
211639,Autumn Leaves (TTBB) (arr. Delehanty),TTBB | Arranged by ,Stephen Delehanty,2,
7021,Baby Face (TTBB) (arr. Stevens),"TTBB, arranged by Dave Stevens -  from the Barbershop Songs For Men Series | Available in US Thanks to Society Volunteer Brian Ayers for converting this arrangement from its original octavo version!",Dave Stevens,2,
209255,Baby It's Cold Outside (8-part M/W) (arr. Bescos),SATB/Mixed (8-part) | Arranged by Joni Bescos | Available in US and Canada,Joni Bescos,2+,8-part Mixed (M/W)
7155,Baby Won't You Please Come Home (TTBB) (arr. Moon),Arranged by: Earl Moon,Earl Moon,2,
212064,"Baby, It's Cold Outside (TTBB w/female soloist) (arr. Nicholas)",TTBB and female soloist | Arranged by Jon Nicholas (formerly #209301) | from the motion picture Neptune's Daughter | Available in US and Canada,Jon Nicholas,2,
214125,Back In Business (SATB) (arr. Wright),"SATB, for mixed voices | Arranged by David Wright | Available in US and Canada",David Wright,5,SATB
212281,Back In Business (SSAA) (arr. Wright),"SSAA, for female voices | Arranged by David Wright (formerly #208999) | Print version | from the film Dick Tracy | Available in US and Canada",David Wright,5,SSAA
211551,Back In Business (TTBB) (arr. Wright),TTBB | Arranged by David Wright (formerly #110173) | Print version | from the film Dick Tracy | Available in US and Canada,David Wright,5,TTBB
7085,Back in Dad and Mother's Day (TTBB) (arr. Perry),"Bourne Music Publication | TTBB, arranged by Lou Perry",Louis Perry,2,
7525,Back In Dixie Again (TTBB) (arr. Moon),Arranged by: Earl Moon,Earl Moon,2,
11564,Back In My Home Town (TTBB) (arr. Grundy),"Arranged by: Grundy, S. K.",S. K. Grundy,4,
7315,Back In The Good Old Days (TTBB) (arr. Szabo),"TTBB, arranged by Burt Szabo | from the Barbershop Songs For Men series | Available for all territories  ",Burt Szabo,2,
8829,Back In The Old Routine (TTBB) (arr. Backwell),Arranged by: Greg Backwell | Available in US and Canada,Greg Backwell,3,
212285,Back in the Saddle Again (TTBB) (arr. Nicholas),TTBB | Arranged by Jon Nicholas (formerly #204496),Jon Nicholas,2,
7518,Back In Those Days Gone By (TTBB) (arr. Senter),Arranged by: Mike Senter,,3,
8604,Bad Buncha Boys (TTBB) (arr. Roose),"TTBB, arranged by Kirk Roose | Available for the U.S. and Canada",Kirk Roose,2,TTBB
212058,"Bad, Bad Leroy Brown (TTBB) (arr. Wilson)",TTBB | Arranged by Fran Wilson (formerly #204542) | Available Worldwide,Fran Wilson,2,
8117,Ballin' The Jack (TTBB) (arr. Baird),"TTBB, arranged by Jack Baird |  from the Harmony Heritage Songs series",Jack Baird,2,
203199,"Band Played On, The (TTBB) (arr. Hopkins)","Arranged by: Hopkins, Rob",Rob Hopkins,1,
